alpha_decay,step,phase,var_mean,var_median,var_min,var_max
0.001,1,training_fact_1_step_1,0.009568978101015091,0.00986612867563963,0.007502499967813492,0.009999996982514858
0.001,2,training_fact_1_step_2,0.009144501760601997,0.009674424305558205,0.005631248001009226,0.009997185319662094
0.001,3,training_fact_1_step_3,0.008980769664049149,0.00965645257383585,0.004229212645441294,0.009996703825891018
0.001,4,training_fact_1_step_4,0.008858039043843746,0.00964232999831438,0.0031787375919520855,0.009996594861149788
0.001,5,training_fact_1_step_5,0.008748579770326614,0.00958628486841917,0.0023916689679026604,0.009995488449931145
0.001,6,training_fact_1_step_6,0.008539622649550438,0.009484502486884594,0.0018019579583778977,0.009995468892157078
0.001,7,training_fact_1_step_7,0.008494226261973381,0.009478856809437275,0.0013601169921457767,0.009995348751544952
0.001,8,training_fact_1_step_8,0.008278623223304749,0.009328646585345268,0.0010290676727890968,0.009995046071708202
0.001,9,training_fact_1_step_9,0.008124493062496185,0.009269136935472488,0.0007810289389453828,0.009993686340749264
0.001,10,training_fact_1_step_10,0.007926267571747303,0.009193058125674725,0.0005951859056949615,0.0099936593323946
0.001,11,training_fact_1_step_11,0.007775829639285803,0.009133520536124706,0.00045594305265694857,0.009990444406867027
0.001,12,training_fact_1_step_12,0.00769995478913188,0.009119955822825432,0.0003516153374221176,0.009989612735807896
0.001,13,training_fact_1_step_13,0.007495818194001913,0.008926430717110634,0.00027344777481630445,0.009989194571971893
0.001,14,training_fact_1_step_14,0.0074195414781570435,0.008911618031561375,0.0002148807398043573,0.009989088401198387
0.001,15,training_fact_1_step_15,0.007338086608797312,0.008880513720214367,0.00017099939577747136,0.009989088401198387
0.001,16,training_fact_2_step_1,0.006947425659745932,0.008204556070268154,0.0001381213078275323,0.009943126700818539
0.001,17,training_fact_2_step_2,0.006820736452937126,0.008074965327978134,0.00011348738917149603,0.009943036362528801
0.001,18,training_fact_2_step_3,0.006615471560508013,0.0076888990588486195,9.999999747378752e-05,0.00993963610380888
0.001,19,training_fact_2_step_4,0.006504148710519075,0.007583601865917444,9.999999747378752e-05,0.009939316660165787
0.001,20,training_fact_2_step_5,0.0064593954011797905,0.00757416570559144,9.999999747378752e-05,0.009939365088939667
0.001,21,training_fact_2_step_6,0.006377064157277346,0.007530507631599903,9.999999747378752e-05,0.009939390234649181
0.001,22,training_fact_2_step_7,0.006331478711217642,0.007523940876126289,9.999999747378752e-05,0.009939164854586124
0.001,23,training_fact_2_step_8,0.006291841622442007,0.007514408323913813,9.999999747378752e-05,0.009938560426235199
0.001,24,training_fact_2_step_9,0.00624138442799449,0.007476843427866697,9.999999747378752e-05,0.009936676360666752
0.001,25,training_fact_2_step_10,0.006174672394990921,0.007462591398507357,9.999999747378752e-05,0.009936699643731117
0.001,26,training_fact_2_step_11,0.0061233858577907085,0.007447115611284971,9.999999747378752e-05,0.009936410933732986
0.001,27,training_fact_2_step_12,0.006078789941966534,0.0074280910193920135,9.999999747378752e-05,0.009936448186635971
0.001,28,training_fact_2_step_13,0.006046629510819912,0.007402100134640932,9.999999747378752e-05,0.00993614736944437
0.001,29,training_fact_2_step_14,0.00601203041151166,0.007381452713161707,9.999999747378752e-05,0.009935857728123665
0.001,30,training_fact_2_step_15,0.006000585854053497,0.007378122769296169,9.999999747378752e-05,0.009934895671904087
0.001,31,training_fact_3_step_1,0.005755700170993805,0.006979547441005707,9.999999747378752e-05,0.00993329007178545
0.001,32,training_fact_3_step_2,0.00557732256129384,0.0067108203656971455,9.999999747378752e-05,0.0099328076466918
0.001,33,training_fact_3_step_3,0.005456208251416683,0.006550188641995192,9.999999747378752e-05,0.009931863285601139
0.001,34,training_fact_3_step_4,0.005109232850372791,0.005855503957718611,9.999999747378752e-05,0.00993009191006422
0.001,35,training_fact_3_step_5,0.0050028045661747456,0.005664985626935959,9.999999747378752e-05,0.009928975254297256
0.001,36,training_fact_3_step_6,0.0047912076115608215,0.005105508491396904,9.999999747378752e-05,0.00992440152913332
0.001,37,training_fact_3_step_7,0.004711697343736887,0.004868245683610439,9.999999747378752e-05,0.009924340061843395
0.001,38,training_fact_3_step_8,0.0046685789711773396,0.004776268731802702,9.999999747378752e-05,0.009924408048391342
0.001,39,training_fact_3_step_9,0.004627780988812447,0.004743718076497316,9.999999747378752e-05,0.009924457408487797
0.001,40,training_fact_3_step_10,0.00456580612808466,0.004629030823707581,9.999999747378752e-05,0.009924076497554779
0.001,41,training_fact_3_step_11,0.004479846451431513,0.0043313815258443356,9.999999747378752e-05,0.009922397322952747
0.001,42,training_fact_3_step_12,0.004366669338196516,0.003997754771262407,9.999999747378752e-05,0.00992235541343689
0.001,43,training_fact_3_step_13,0.004286882001906633,0.0037355886306613684,9.999999747378752e-05,0.009922312572598457
0.001,44,training_fact_3_step_14,0.004242327995598316,0.0035434223245829344,9.999999747378752e-05,0.009922374971210957
0.001,45,training_fact_3_step_15,0.004213634412735701,0.0034739109687507153,9.999999747378752e-05,0.009922444820404053
0.001,46,training_fact_4_step_1,0.004127250984311104,0.00323082716204226,9.999999747378752e-05,0.009908491745591164
0.001,47,training_fact_4_step_2,0.003951617982238531,0.0031141405925154686,9.999999747378752e-05,0.009897050447762012
0.001,48,training_fact_4_step_3,0.003922916017472744,0.0030105402693152428,9.999999747378752e-05,0.009897124022245407
0.001,49,training_fact_4_step_4,0.0039047831669449806,0.0029196080286055803,9.999999747378752e-05,0.009897210635244846
0.001,50,training_fact_4_step_5,0.0038214274682104588,0.0028287775348871946,9.999999747378752e-05,0.009879602119326591
0.001,51,training_fact_4_step_6,0.0037647054996341467,0.002714182250201702,9.999999747378752e-05,0.009875628165900707
0.001,52,training_fact_4_step_7,0.003682746086269617,0.0025973846204578876,9.999999747378752e-05,0.009874312207102776
